x_over_L,ux,ux_block_sd,ux_naive_block_se,uy,uy_block_sd,uy_naive_block_se,T,T_block_sd,T_naive_block_se
-0.34750000000000003,-6.614271954991256e-05,4.6352872112457466e-05,1.2388326166983166e-05,3.5699099485572854e-05,4.477784240953298e-05,1.196738177253061e-05,0.42336887050732896,4.757061532763453e-05,1.2713781731001815e-05
-0.3425,-6.073814378240754e-05,4.405431150915095e-05,1.1774010005532494e-05,7.27654159341516e-05,4.920433433070625e-05,1.3150411500698694e-05,0.42507784204141175,5.275109623476327e-05,1.4098323491944645e-05
-0.3375,-6.214720306006602e-05,4.3321427974257474e-05,1.1578138641819696e-05,4.442918277080276e-05,4.583641980073581e-05,1.2250298480763893e-05,0.4267922127867452,4.7719223818700866e-05,1.2753499020882936e-05
-0.3325,-7.072840362744496e-05,4.084992525512694e-05,1.0917601755714936e-05,1.6426521924526027e-05,4.331138950924337e-05,1.1575455749193132e-05,0.4284719241270138,5.614403156157813e-05,1.5005123601117723e-05
-0.3275,-8.548291253920285e-05,4.143493740433823e-05,1.1073952829247002e-05,2.9283128742388404e-05,5.232335539177416e-05,1.398400494303071e-05,0.4301402567063297,5.079400359071466e-05,1.3575268481358545e-05
-0.3225,-7.406659736316636e-05,3.941867873302496e-05,1.0535085032735122e-05,1.078084981911898e-05,4.361092380193979e-05,1.1655509656254536e-05,0.43176214235279253,5.894590297502659e-05,1.575395523475488e-05
-0.3175,-8.132009221938869e-05,3.947787762308217e-05,1.055090660161165e-05,1.9748390035640285e-05,4.1285030218646116e-05,1.103388844862733e-05,0.43335117197490786,6.139751658089493e-05,1.6409176531748646e-05
-0.3125,-8.89416818587097e-05,3.9917275115805914e-05,1.0668340521210201e-05,2.8210152476584363e-05,3.785440379075928e-05,1.0117014968972711e-05,0.43493550873893827,6.18067746484328e-05,1.6518555351141498e-05
-0.3075,-8.548660655027207e-05,4.4587554239132696e-05,1.1916525119788187e-05,-1.7114455429239398e-05,3.8449159742815164e-05,1.0275970183353974e-05,0.4364872739177398,6.817089168536828e-05,1.821943717410889e-05
-0.3025,-8.458311630883606e-05,4.6083660227933996e-05,1.231637626438784e-05,-2.856737057975417e-05,5.816918400230782e-05,1.5546368357489117e-05,0.43800516395772626,7.62906325410093e-05,2.038952919919456e-05
-0.2975,-7.604576123228858e-05,4.245297890063923e-05,1.134603586386679e-05,-1.3340836556600972e-05,3.2268661457072787e-05,8.624162535868854e-06,0.4394583180841483,6.21987332445528e-05,1.6623310692318783e-05
-0.2925,-7.218242624757918e-05,3.467887451272262e-05,9.26831907039537e-06,-2.1745332217310098e-05,4.710167943416809e-05,1.2588453341736662e-05,0.4409363403984768,6.09823452753304e-05,1.6298217333017067e-05
-0.2875,-6.965158641330615e-05,3.722713776828566e-05,9.949371072796943e-06,-3.6677392713180887e-06,4.813845578746122e-05,1.286554347750322e-05,0.44235315849952095,6.172836187863015e-05,1.6497598656902247e-05
